Programme Name,University Name,Location,Programme Code,Cut-off 2017,Cut-off 2018,Cut-off 2019,Cut-off 2020,Cut-off 2021,Cut-off 2022,Cut-off 2023
"BACHELOR OF SCIENCE (BASIC SCIENCE, WITH IT)",TOM MBOYA UNIVERSITY,Homa Bay County,1515120,,22.882,25.047,16.791,17.459,16.974,15.683
BACHELOR OF SCIENCE,KIRINYAGA UNIVERSITY,Kirinyaga County,1079120,,24.627,24.806,16.791,17.459,16.974,15.683
BACHELOR OF SCIENCE,THARAKA UNIVERSITY,Tharaka-Nithi County,1685120,,22.674,25.511,16.791,17.459,16.974,15.683
BACHELOR OF SCIENCE,SOUTH EASTERN KENYA UNIVERSITY,Kitui County,1166120,,,24.322,16.791,17.459,16.974,15.683
BACHELOR OF SCIENCE (AGRICULTURAL ENGINEERING),EGERTON UNIVERSITY,Nakuru County,1057121,30.252,30.095,28.901,27.801,16.787,28.798,27.708
BACHELOR OF ENGINEERING (AGRICULTURAL & BIO-SYSTEMS ENGINEERING),UNIVERSITY OF ELDORET,Uasin Gishu County,1114121,,27.817,29.446,29.473,16.787,15.982,27.819
PROGRAMME NAME,INSTITUTION NAME,Unknown,PROG CODE,,,,,,,
BACHELOR OF SCIENCE (AGRICULTURAL AND BIOSYSTEMS ENGINEERING),JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,Kiambu County,1249121,33.269,31.053,33.081,31.058,30.805,33.508,27.474
BACHELOR OF SCIENCE (BIOSYSTEMS ENGINEERING),UNIVERSITY OF NAIROBI,Nairobi County,1263121,29.79,30.253,28.238,28.989,29.073,31.471,28.557
BACHELOR OF SCIENCE (AGRICULTURAL & BIO-SYSTEMS ENGINEERING),KENYATTA UNIVERSITY,Nairobi County,1111121,28.496,28.359,29.742,30.448,30.154,28.555,30.198
BACHELOR OF SCIENCE (AGRICULTURAL ENGINEERING),SOUTH EASTERN KENYA UNIVERSITY,Kitui County,1166121,,,,16.9,16.787,15.982,15.683
BACHELOR OF SCIENCE (AGRICULTURE),EGERTON UNIVERSITY,Nakuru County,1057122,26.305,24.077,25.425,16.791,17.459,23.701,15.864
BACHELOR OF SCIENCE (AGRICULTURE),RONGO UNIVERSITY,Unknown,1073122,,25.794,24.851,16.791,17.459,17.043,15.864
BACHELOR OF SCIENCE IN AGRICULTURE,KISII UNIVERSITY,Kisii County,1087122,,24.613,25.227,16.791,17.459,17.043,15.864
BACHELOR OF SCIENCE (AGRICULTURE),UNIVERSITY OF EMBU,Unknown,1093122,,26.665,31.615,16.791,17.459,17.043,15.864
BACHELOR OF SCIENCE (AGRICULTURE),CHUKA UNIVERSITY,Tharaka-Nithi County,1105122,26.262,25.501,25.659,16.791,17.459,17.043,15.864
BACHELOR OF SCIENCE (AGRICULTURE),KENYATTA UNIVERSITY,Nairobi County,1111122,,24.134,24.029,23.831,17.459,23.704,15.864
BACHELOR OF SCIENCE (AGRICULTURE),UNIVERSITY OF ELDORET,Uasin Gishu County,1114122,,23.79,24.981,16.791,17.459,24.913,15.864
BACHELOR OF SCIENCE (AGRICULTURE),UNIVERSITY OF KABIANGA,Kericho County,1118122,,34.036,27.089,16.791,17.459,17.043,15.864
BACHELOR OF SCIENCE (AGRICULTURE),SOUTH EASTERN KENYA UNIVERSITY,Kitui County,1166122,,,,16.791,17.459,17.043,15.864
BACHELOR OF SCIENCE (AGRICULTURE),MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY,Meru County,1240122,,25.417,,16.791,17.459,17.043,15.864
BACHELOR OF SCIENCE IN AGRICULTURE,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,Kiambu County,1249122,28.884,23.983,24.875,23.089,27.265,32.284,29.064
BACHELOR OF SCIENCE (AGRICULTURE),UNIVERSITY OF NAIROBI,Nairobi County,1263122,26.373,25.885,23.25,24.289,17.459,22.782,15.864
BACHELOR OF SCIENCE IN AGRICULTURE,PWANI UNIVERSITY,Unknown,1117122,,30.06,26.472,16.791,17.459,17.043,15.864
BACHELOR OF SCIENCE IN AGRICULTURE,KENYA METHODIST UNIVERSITY,Unknown,1077122,,24.786,23.981,16.791,17.459,17.043,15.864
BACHELOR OF SCIENCE IN AGRICULTURE,"UNIVERSITY OF EASTERN AFRICA, BARATON",Unknown,1181122,,,26.445,16.791,17.459,17.043,15.864
BACHELOR OF SCIENCE IN AGRICULTURE,TAITA TAVETA UNIVERSITY,Unknown,1091122,,24.948,25.565,16.791,17.459,17.043,15.864
BACHELOR OF SCIENCE (AGRICULTURE),MURANG'A UNIVERSITY OF TECHNOLOGY,Murang’a County,1246122,,,,16.791,17.459,17.043,15.864
BACHELOR OF SCIENCE IN AGRICULTURE,THARAKA UNIVERSITY,Tharaka-Nithi County,1685122,,,,16.791,17.459,,15.864
BACHELOR OF SCIENCE (FOOD SCIENCE & TECHNOLOGY),EGERTON UNIVERSITY,Nakuru County,1057124,30.968,26.588,29.9,28.732,17.459,17.043,24.645
BACHELOR OF SCIENCE IN FOOD TECHNOLOGY & QUALITY ASSURANCE,TECHNICAL UNIVERSITY OF MOMBASA,Unknown,1063124,34.533,28.165,28.995,16.791,17.459,17.043,15.864
BACHELOR OF SCIENCE (FOOD SCIENCE & TECHNOLOGY),CHUKA UNIVERSITY,Tharaka-Nithi County,1105124,27.397,25.537,28.213,16.791,17.459,17.043,15.864
BACHELOR OF TECHNOLOGY (FOOD SCIENCE AND TECHNOLOGY),TECHNICAL UNIVERSITY OF KENYA,Unknown,1112124,31.639,26.156,28.71,28.939,25.402,27.932,15.864
BACHELOR OF SCIENCE IN FOOD SCIENCE AND TECHNOLOGY,DEDAN KIMATHI UNIVERSITY OF TECHNOLOGY,Nyeri County,1173124,28.216,27.885,29.764,16.791,17.459,17.043,15.864
BACHELOR OF SCIENCE (FOOD SCIENCE AND TECHNOLOGY),MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY,Meru County,1240124,,27.853,30.406,16.791,17.459,17.043,15.864
BACHELOR OF SCIENCE IN FOOD SCIENCE AND TECHNOLOGY,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,Kiambu County,1249124,30.273,30.319,32.691,28.191,31.645,33.076,30.855
BACHELOR OF SCIENCE (FOOD SCIENCE AND TECHNOLOGY),UNIVERSITY OF NAIROBI,Nairobi County,1263124,30.035,30.414,33.694,33.074,30.539,32.155,23.85
BACHELOR OF SCIENCE (FOOD SCIENCE & TECHNOLOGY),MURANG'A UNIVERSITY OF TECHNOLOGY,Murang’a County,1246124,,30.763,,16.791,17.459,17.043,15.864
BACHELOR OF SCIENCE (FOOD SCIENCE AND TECHNOLOGY),MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY,Unknown,1082124,,,28.258,,17.459,17.043,15.864
BACHELOR OF SCIENCE IN FOOD SCIENCE AND TECHNOLOGY,THARAKA UNIVERSITY,Tharaka-Nithi County,1685124,,,,16.791,,,
BACHELOR OF MEDICINE & BACHELOR OF SURGERY,EGERTON UNIVERSITY,Nakuru County,1057131,40.902,42.743,43.706,44.207,43.749,44.079,44.563
BACHELOR OF MEDICINE & BACHELOR OF SURGERY (M.B.CH.B.),KENYATTA UNIVERSITY,Nairobi County,1111131,42.725,43.639,44.609,44.937,44.995,44.914,45.433
PROGRAMME NAME,INSTITUTION NAME,Unknown,PROG CODE,,,,,,,
BACHELOR OF MEDICINE AND BACHELOR OF SURGERY (WITH IT),MASENO UNIVERSITY,Kisumu County,1229131,37.171,42.259,43.586,44.083,44.143,44.463,44.787
BACHELOR OF MEDICINE AND BACHELOR OF SURGERY,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,Kiambu County,1249131,42.264,43.239,44.344,44.54,44.62,44.611,45.048
BACHELOR OF MEDICINE AND BACHELOR OF SURGERY (MBCHB),MOI UNIVERSITY,Uasin Gishu County,1253131,42.648,43.71,44.599,44.59,44.44,44.492,45.087
BACHELOR OF MEDICINE AND BACHELOR OF SURGERY,UNIVERSITY OF NAIROBI,Nairobi County,1263131,43.474,44.16,45.073,45.317,45.106,45.034,45.584
BACHELOR OF MEDICINE & BACHELOR OF SURGERY,KENYA METHODIST UNIVERSITY,Unknown,1077131,,39.714,42.259,43.777,43.816,38.04,42.636
BACHELOR OF MEDICINE & BACHELOR OF SURGERY (M.B.CH.B.),UZIMA UNIVERSITY,Unknown,1116131,,34.766,40.296,42.877,43.347,33.193,40.547
BACHELOR OF MEDICINE AND BACHELOR OF SURGERY,MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY,Unknown,1082131,,41.672,43.349,43.839,43.841,44.026,44.435
BACHELOR OF MEDICINE AND BACHELOR OF SURGERY,KISII UNIVERSITY,Kisii County,1087131,,39.003,42.746,43.786,43.815,44.012,44.434
BACHELOR OF MEDICINE AND BACHELOR OF SURGERY,MOUNT KENYA UNIVERSITY,Kiambu County,1279131,,41.005,44.042,44.436,44.557,43.486,44.35
BACHELOR OF MEDICINE AND BACHELOR OF SURGERY,PWANI UNIVERSITY,Unknown,1117131,,,,,,,44.434
BACHELOR OF COMMERCE,EGERTON UNIVERSITY,Nakuru County,1057133,33.513,33.056,34.395,33.413,26.592,26.655,30.01
BACHELOR OF COMMERCE,TECHNICAL UNIVERSITY OF MOMBASA,Unknown,1063133,31.094,29.383,31.863,30.205,29.992,21.444,21.375
BACHELOR OF COMMERCE,KIRINYAGA UNIVERSITY,Kirinyaga County,1079133,25.229,23.743,24.543,22.361,22.544,21.444,21.375
BACHELOR OF COMMERCE (B.COM),CO-OPERATIVE UNIVERSITY OF KENYA,Nairobi County,1080133,28.519,26.298,28.108,24.792,24.305,21.444,24.003
BACHELOR OF COMMERCE,MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY,Unknown,1082133,29.337,29.692,30.367,27.59,24.453,21.444,23.929
BACHELOR OF COMMERCE,KISII UNIVERSITY,Kisii County,1087133,28.992,26.917,29.278,27.197,22.544,21.444,24.305
BACHELOR OF COMMERCE (B.COM),TAITA TAVETA UNIVERSITY,Unknown,1091133,,24.427,24.083,22.361,22.544,21.444,21.375
BACHELOR OF COMMERCE,UNIVERSITY OF EMBU,Unknown,1093133,27.961,24.588,25.446,24.057,22.544,21.444,21.375
BACHELOR OF COMMERCE,CHUKA UNIVERSITY,Tharaka-Nithi County,1105133,31.373,30.024,31.469,28.986,24.769,23.266,25.421
BACHELOR OF COMMERCE,KIBABII UNIVERSITY,Unknown,1108133,26.91,24.889,26.766,24.92,22.544,21.444,21.375
BACHELOR OF COMMERCE (B.COM),KENYATTA UNIVERSITY,Nairobi County,1111133,34.506,33.55,35.353,33.679,33.49,30.779,32.613
BACHELOR OF COMMERCE (B.COM),TECHNICAL UNIVERSITY OF KENYA,Unknown,1112133,34.041,30.834,33.866,32.842,31.956,29.07,30.286
BACHELOR OF COMMERCE,PWANI UNIVERSITY,Unknown,1117133,29.049,25.811,27.921,24.363,22.544,21.444,21.375
BACHELOR OF COMMERCE,MULTIMEDIA UNIVERSITY OF KENYA,Nairobi County,1164133,31.009,29.562,30.459,28.235,22.544,21.444,24.16
BACHELOR OF COMMERCE,SOUTH EASTERN KENYA UNIVERSITY,Kitui County,1166133,27.117,24.223,24.766,22.361,22.544,21.444,21.375
BACHELOR OF COMMERCE (B.COM),MACHAKOS UNIVERSITY,Machakos County,1170133,28.686,26.285,27.9,24.721,22.544,21.444,24.21
BACHELOR OF COMMERCE(B.COM),DEDAN KIMATHI UNIVERSITY OF TECHNOLOGY,Nyeri County,1173133,31.073,29.353,30.723,29.102,27.234,21.444,24.388
BACHELOR OF COMMERCE (B.COM),LAIKIPIA UNIVERSITY,Unknown,1176133,29.046,27.388,28.709,25.264,22.544,21.444,21.375
BACHELOR OF COMMERCE (B.COM),MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY,Meru County,1240133,25.035,25.83,25.467,23.482,22.544,21.444,21.375
BACHELOR OF COMMERCE,MURANG'A UNIVERSITY OF TECHNOLOGY,Murang’a County,1246133,24.754,24.79,24.508,22.361,22.544,21.444,21.375
BACHELOR OF COMMERCE,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,Kiambu County,1249133,34.774,33.808,35.123,34.14,33.822,30.346,32.291
BACHELOR OF COMMERCE (B.COM),UNIVERSITY OF NAIROBI,Nairobi County,1263133,34.996,34.867,36.77,35.524,35.301,33.556,34.426
BACHELOR OF COMMERCE,KABARAK UNIVERSITY,Nakuru County,1061133,27.457,28.631,29.306,24.809,22.544,21.444,21.375
BACHELOR OF COMMERCE,MANAGEMENT UNIVERSITY OF AFRICA,Unknown,1066133,,24.009,23.737,22.361,22.544,21.444,21.375
BACHELOR OF COMMERCE,PAN AFRICA CHRISTIAN UNIVERSITY,Unknown,1068133,,25.367,27.252,22.361,22.544,21.444,21.375
BACHELOR OF COMMERCE (B.COM),AFRICA NAZARENE UNIVERSITY,Unknown,1078133,24.67,25.358,26.476,24.86,22.544,21.444,21.375
BACHELOR OF COMMERCE,GRETSA UNIVERSITY,Unknown,1088133,,23.975,24.373,22.361,22.544,21.444,21.375
PROGRAMME NAME,INSTITUTION NAME,Unknown,PROG CODE,,,,,,,
BACHELOR OF COMMERCE,KCA UNIVERSITY,Nairobi County,1103133,27.129,27.924,29.858,27.111,25.523,21.444,21.375
BACHELOR OF COMMERCE (B.COM),ST PAULS UNIVERSITY,Unknown,1107133,24.642,24.161,24.172,22.361,22.544,21.444,21.375
BACHELOR OF COMMERCE,MAASAI MARA UNIVERSITY,Unknown,1165133,26.361,26.18,26.707,24.108,22.544,21.444,21.375
BACHELOR OF COMMERCE (B.COM),PIONEER INTERNATIONAL UNIVERSITY,Unknown,1264133,,25.136,24.119,22.361,22.544,21.444,21.375
BACHELOR OF COMMERCE,MOUNT KENYA UNIVERSITY,Kiambu County,1279133,27.23,28.597,29.874,25.857,26.072,21.444,21.375
BACHELOR OF COMMERCE,KAIMOSI FRIENDS UNIVERSITY,Unknown,1470133,,25.013,24.298,22.361,22.544,21.444,21.375
BACHELOR OF COMMERCE,CATHOLIC UNIVERSITY OF EASTERN  AFRICA,Nairobi County,1480133,28.317,26.424,28.661,24.016,22.544,21.444,21.375
BACHELOR OF COMMERCE,LUKENYA UNIVERSITY,Unknown,1495133,,24.44,24.047,22.361,22.544,21.444,21.375
BACHELOR OF COMMERCE,DAYSTAR UNIVERSITY,Machakos County,1162133,,,,,22.544,21.444,21.375
BACHELOR OF COMMERCE (B.COM),ZETECH UNIVERSITY,Kiambu County,1425133,,24.929,24.582,22.361,22.544,21.444,21.375
BACHELOR OF COMMERCE (B.COM),THARAKA UNIVERSITY,Tharaka-Nithi County,1685133,,23.931,24.267,22.361,22.544,21.444,21.375
BACHELOR OF COMMERCE,KOITALEEL SAMOEI UNIVERSITY COLLEGE,Unknown,3890133,,24.828,24.973,22.361,22.544,21.444,21.375
BACHELOR OF COMMERCE (B.COM),UMMA UNIVERSITY,Unknown,1485133,,,,22.361,24.493,,
BACHELOR OF COMMERCE (B.COM),KENYATTA UNIVERSITY - MAMA NGINA UNIVERSITY COLLEGE,Unknown,1580133,,,,,22.544,21.444,24.044
BACHELOR OF COMMERCE (B.COM),RONGO UNIVERSITY,Unknown,1073133,,,,,,21.444,21.375
BACHELOR OF COMMERCE,TURKANA UNIVERSITY COLLEGE,Unknown,1570133,,,,,,21.444,21.375
BACHELOR OF COMMERCE,UNIVERSITY OF KABIANGA,Kericho County,1118133,,,,,,,23.545
BACHELOR OF SCIENCE (WILDLIFE ENTERPRISES & MANAGEMENT),EGERTON UNIVERSITY,Nakuru County,1057142,,26.634,25.928,16.791,17.459,17.043,15.864
BACHELOR OF SCIENCE (WILDLIFE ENTERPRISE MANAGEMENT),CHUKA UNIVERSITY,Tharaka-Nithi County,1105142,32.032,25.331,27.287,16.791,17.459,17.043,15.864
BACHELOR OF SCIENCE (WILDLIFE MANAGEMENT),MAASAI MARA UNIVERSITY,Unknown,1165142,,,,,,,15.864
BACHELOR OF SCIENCE (STATISTICS),EGERTON UNIVERSITY,Nakuru County,1057163,34.585,35.055,35.325,31.844,28.937,19.914,26.311
BACHELOR OF SCIENCE (STATISTICS),KIRINYAGA UNIVERSITY,Kirinyaga County,1079163,24.585,24.567,24.339,20.048,20.1,19.914,18.831
BACHELOR OF SCIENCE (STATISTICS),TAITA TAVETA UNIVERSITY,Unknown,1091163,,23.103,23.194,20.048,20.1,19.914,18.831
BACHELOR OF SCIENCE (STATISTICS),SOUTH EASTERN KENYA UNIVERSITY,Kitui County,1166163,24.796,23.811,23.44,20.048,20.1,19.914,18.831
BACHELOR OF SCIENCE (STATISTICS),LAIKIPIA UNIVERSITY,Unknown,1176163,25.949,26.295,26.114,20.048,20.1,19.914,18.831
BACHELOR OF SCIENCE STATISTICS,MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY,Meru County,1240163,25.162,25.258,24.285,20.048,20.1,19.914,18.831
BACHELOR OF SCIENCE IN STATISTICS,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,Kiambu County,1249163,34.964,35.988,36.882,33.533,34.336,27.899,30.147
BACHELOR OF SCIENCE (STATISTICS),UNIVERSITY OF NAIROBI,Nairobi County,1263163,35.919,37.62,38.715,37.062,37.6,33.673,35.192
BACHELOR OF SCIENCE (STATISTICS),UNIVERSITY OF EMBU,Unknown,1093163,24.823,24.111,24.031,20.048,20.1,19.914,18.831
BACHELOR OF SCIENCE IN STATISTICS,MOUNT KENYA UNIVERSITY,Kiambu County,1279163,25.081,28.426,30.623,24.881,28.859,19.914,18.831
BACHELOR OF SCIENCE (FOOD NUTRITION & DIETETICS),EGERTON UNIVERSITY,Nakuru County,1057190,29.067,25.674,28.479,29.942,17.459,29.18,25.471
BACHELOR OF SCIENCE IN FOOD NUTRITION AND DIETETICS,KISII UNIVERSITY,Kisii County,1087190,,28.901,25.878,24.325,17.459,25.164,15.864
"BACHELOR OF SCIENCE (FOOD, NUTRITION & DIETETICS)",KENYATTA UNIVERSITY,Nairobi County,1111190,,26.414,27.384,33.413,33.435,33.006,30.185
BACHELOR OF SCIENCE (FOOD NUTRITION & DIETETICS),PWANI UNIVERSITY,Unknown,1117190,,32.001,25.314,16.791,17.459,17.043,15.864
BACHELOR OF SCIENCE (FOOD NUTRITION AND DIETETICS),SOUTH EASTERN KENYA UNIVERSITY,Kitui County,1166190,,,29.818,16.791,17.459,17.043,15.864
PROGRAMME NAME,INSTITUTION NAME,Unknown,PROG CODE,,,,,,,
"BACHELOR OF SCIENCE (NUTRITION AND DIETETICS, WITH IT)",MASENO UNIVERSITY,Kisumu County,1229190,35.982,28.754,23.716,25.284,17.459,29.299,26.579
BACHELOR OF SCIENCE (FOOD NUTRITION AND DIETETICS),UNIVERSITY OF NAIROBI,Nairobi County,1263190,27.962,31.382,29.05,32.933,33.832,33.75,31.104
"BACHELOR OF SCIENCE (NUTRITION AND DIETETICS, WITH IT)",TOM MBOYA UNIVERSITY,Homa Bay County,1515190,,27.188,24.845,16.791,17.459,17.043,
BACHELOR OF SCIENCE IN FOOD NUTRITION AND DIETETICS,MACHAKOS UNIVERSITY,Machakos County,1170190,,,,16.791,17.459,24.992,15.864
"BACHELOR OF SCIENCE IN FOOD, NUTRITION AND DIETETICS",MAASAI MARA UNIVERSITY,Unknown,1165190,,,,,17.459,25.478,15.864
BACHELOR OF SCIENCE (BIOMEDICAL SCIENCE & TECHNOLOGY),EGERTON UNIVERSITY,Nakuru County,1057195,26.641,33.075,35.524,35.801,35.523,36.066,35.782
BACHELOR OF SCIENCE IN BIOMEDICAL SCIENCES & TECHNOLOGY,KISII UNIVERSITY,Kisii County,1087195,,28.457,32.434,33.396,33.751,34.984,34.532
BACHELOR OF TECHNOLOGY (SCIENCE LABORATORY TECHNOLOGY),TECHNICAL UNIVERSITY OF KENYA,Unknown,1112195,28.304,33.338,34.917,35.75,36.062,37.022,35.428
BACHELOR OF SCIENCE (BIOMEDICAL SCIENCE AND TECHNOLOGY,LAIKIPIA UNIVERSITY,Unknown,1176195,,,,27.366,32.153,32.967,27.967
BACHELOR OF SCIENCE (BIOMEDICAL SCIENCE AND TECHNOLOGY),CHUKA UNIVERSITY,Tharaka-Nithi County,1105195,25.437,30.375,32.445,34.074,34.613,35.522,32.603
BACHELOR OF SCIENCE IN BIOMEDICAL SCIENCES & TECHNOLOGY,"UNIVERSITY OF EASTERN AFRICA, BARATON",Unknown,1181195,,,,,,17.043,24.733
BACHELOR OF ARTS (ECONOMICS & SOCIOLOGY),EGERTON UNIVERSITY,Nakuru County,1057198,28.235,29.236,28.648,24.066,20.1,19.914,18.831
BACHELOR OF ARTS (ECONOMICS AND SOCIOLOGY),KISII UNIVERSITY,Kisii County,1087198,,24.451,24.018,20.048,20.1,19.914,18.831
BACHELOR OF ARTS (ECONOMICS & SOCIOLOGY),CHUKA UNIVERSITY,Tharaka-Nithi County,1105198,24.229,24.023,24.178,20.048,20.1,19.914,18.831
BACHELOR OF ARTS (ECONOMICS AND SOCIOLOGY),LAIKIPIA UNIVERSITY,Unknown,1176198,,24.15,24.503,20.048,20.1,19.914,18.831
"BACHELOR OF  APPLIED ECONOMICS, WITH IT",MASENO UNIVERSITY,Kisumu County,1229198,,,23.331,23.783,20.1,19.914,
BACHELOR OF ARTS (ECONOMICS AND SOCIOLOGY),THARAKA UNIVERSITY,Tharaka-Nithi County,1685198,,,27.495,,,,
BACHELOR OF SCIENCE (ECONOMICS & STATISTICS),EGERTON UNIVERSITY,Nakuru County,1057200,35.123,35.512,36.195,32.464,25.424,19.914,24.112
BACHELOR OF SCIENCE (ECONOMICS & STATISTICS),CHUKA UNIVERSITY,Tharaka-Nithi County,1105200,30.715,31.672,30.902,26.292,26.14,19.914,18.831
BACHELOR OF SCIENCE (ECONOMICS AND STATISTICS),LAIKIPIA UNIVERSITY,Unknown,1176200,28.383,28.458,25.765,20.048,20.1,19.914,18.831
BACHELOR OF SCIENCE (ECONOMICS & STATISTICS),MAASAI MARA UNIVERSITY,Unknown,1165200,28.359,27.485,25.984,20.048,20.1,19.914,18.831
BACHELOR OF SCIENCE (ECONOMICS & STATISTICS),MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY,Unknown,1082200,28.814,31.915,33.269,25.036,26.288,19.914,18.831
BACHELOR OF SCIENCE (ECONOMICS AND STATISTICS),THARAKA UNIVERSITY,Tharaka-Nithi County,1685200,,24.568,23.779,20.048,20.1,19.914,18.831
BACHELOR OF SCIENCE IN APPLIED STATISTICS AND ECONOMICS,CO-OPERATIVE UNIVERSITY OF KENYA,Nairobi County,1080200,,,,,20.1,19.914,23.543
BACHELOR OF SCIENCE (ECONOMICS AND STATISTICS),KAIMOSI FRIENDS UNIVERSITY,Unknown,1470200,,,,,20.1,19.914,18.831
BACHELOR OF SCIENCE (MANUFACTURING ENGINEERING & TECHNOLOGY),EGERTON UNIVERSITY,Nakuru County,1057211,33.959,36.337,37.406,37.2,26.371,33.73,31.443
BACHELOR OF SCIENCE (ENVIRONMENTAL SCIENCES),EGERTON UNIVERSITY,Nakuru County,1057213,29.199,24.599,26.327,16.791,17.459,21.994,15.864
BACHELOR OF SCIENCE (ENVIRONMENTAL SCIENCE),RONGO UNIVERSITY,Unknown,1073213,,23.846,27.24,16.791,17.459,17.043,15.864
BACHELOR OF SCIENCE IN ENVIRONMENTAL SCIENCE,KISII UNIVERSITY,Kisii County,1087213,,,26.096,16.791,17.459,17.043,15.864
BACHELOR OF SCIENCE (ENVIRONMENTAL SCIENCE),CHUKA UNIVERSITY,Tharaka-Nithi County,1105213,28.345,28.367,28.755,16.791,17.459,17.043,15.864
BACHELOR OF ENVIRONMENTAL SCIENCE,KENYATTA UNIVERSITY,Nairobi County,1111213,,26.851,25.909,25.154,22.708,27.664,15.864
BACHELOR OF ENVIRONMENTAL STUDIES (SCIENCE),UNIVERSITY OF ELDORET,Uasin Gishu County,1114213,,29.381,27.57,16.791,17.459,17.043,15.864
BACHELOR OF ENVIRONMENTAL SCIENCE,PWANI UNIVERSITY,Unknown,1117213,,25.787,25.476,16.791,17.459,17.043,15.864
PROGRAMME NAME,INSTITUTION NAME,Unknown,PROG CODE,,,,,,,
BACHELOR OF SCIENCE(ENVIRONMENTAL STUDIES),MAASAI MARA UNIVERSITY,Unknown,1165213,,,,16.791,,17.043,15.864
BACHELOR OF ENVIRONMENTAL SCIENCE,MACHAKOS UNIVERSITY,Machakos County,1170228,,,37.994,16.791,17.459,17.043,15.864
BACHELOR OF SCIENCE (ENVIRONMENTAL SCIENCE),LAIKIPIA UNIVERSITY,Unknown,1176213,,,23.966,16.791,17.459,17.043,15.864
"BACHELOR OF SCIENCE (ENVIRONMENTAL SCIENCE, WITH IT)",MASENO UNIVERSITY,Kisumu County,1229213,28.794,26.451,26.434,16.791,17.459,23.036,15.864
BACHELOR OF SCIENCE IN ENVIRONMENTAL STUDIES,KARATINA UNIVERSITY,Nyeri County,1244213,,,28.583,16.791,17.459,17.043,15.864
BACHELOR OF SCIENCE IN ENVIRONMENTAL SCIENCE,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,Kiambu County,1249213,30.44,25.512,25.396,25.848,26.311,29.744,25.137
BACHELOR OF SCIENCE IN ENVIRONMENTAL SCIENCE,MOI UNIVERSITY,Uasin Gishu County,1253229,27.317,25.479,27.834,16.791,17.459,25.62,15.864
BACHELOR OF SCIENCE IN ENVIRONMENTAL SCIENCE,KABARAK UNIVERSITY,Nakuru County,1061213,,35.516,32.928,26.126,17.459,17.043,15.864
BACHELOR OF SCIENCE (ENVIRONMENTAL SCIENCE),MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY,Unknown,1082213,,26.295,31.909,16.791,17.459,17.043,15.864
BACHELOR OF SCIENCE (ENVIRONMENTAL SCIENCE),UNIVERSITY OF EMBU,Unknown,1093213,,,,,,,
BACHELOR OF ENVIRONMENTAL STUDIES (COMMUNITY DEVELOPMENT),MACHAKOS UNIVERSITY,Machakos County,1170213,,,40.017,16.791,17.459,17.043,15.864
BACHELOR OF SCIENCE IN ENVIRONMENTAL SCIENCE,MOUNT KENYA UNIVERSITY,Kiambu County,1279213,,27.447,26.546,16.791,17.459,,
"BACHELOR OF SCIENCE (ENVIRONMENTAL SCIENCE, WITH IT)",TOM MBOYA UNIVERSITY,Homa Bay County,1515213,,23.531,24.097,16.791,17.459,17.043,15.864
BACHELOR OF ENVIRONMENTAL SCIENCE,TURKANA UNIVERSITY COLLEGE,Unknown,1570213,,24.078,23.701,16.791,17.459,17.043,15.864
BACHELOR OF SCIENCE(ENVIRONMENTAL STUDIES),GARISSA UNIVERSITY,Garissa County,1096213,,23.319,,,,,
BACHELOR OF SCIENCE IN ENVIRONMENTAL SCIENCE AND TECHNOLOGY,CO-OPERATIVE UNIVERSITY OF KENYA,Nairobi County,1080213,,,,16.791,17.459,17.043,15.864
BACHELOR OF SCIENCE (ENVIRONMENTAL SCIENCE),THARAKA UNIVERSITY,Tharaka-Nithi County,1685213,,,,16.791,,,
BACHELOR OF ENVIRONMENTAL SCIENCE,KENYATTA UNIVERSITY - MAMA NGINA UNIVERSITY COLLEGE,Unknown,1580213,,,,,,17.043,15.864
BACHELOR OF SCIENCE (AGRICULTURAL ECONOMICS),EGERTON UNIVERSITY,Nakuru County,1057216,27.117,26.047,24.198,16.791,17.459,16.974,15.864
BACHELOR OF SCIENCE IN AGRICULTURAL ECONOMICS,KISII UNIVERSITY,Kisii County,1087216,,,24.091,16.791,,16.974,15.864
BACHELOR OF SCIENCE (AGRICULTURAL ECONOMICS),CHUKA UNIVERSITY,Tharaka-Nithi County,1105216,,25.394,25.939,16.791,17.459,16.974,15.864
