Programme Name,University Name,Location,Programme Code,Cut-off 2017,Cut-off 2018,Cut-off 2019,Cut-off 2020,Cut-off 2021,Cut-off 2022,Cut-off 2023
BACHELOR OF SCIENCE (BIOLOGY),SOUTH EASTERN KENYA UNIVERSITY,Kitui County,1166111,,26.086,27.461,,,,
PROGRAMME NAME,INSTITUTION NAME,Unknown,PROG CODE,,,,,,,
BACHELOR OF SCIENCE IN BIOLOGY,MACHAKOS UNIVERSITY,Machakos County,1170111,,24.335,26.854,16.791,17.459,16.974,15.683
BACHELOR OF SCIENCE (BIOLOGY),UNIVERSITY OF NAIROBI,Nairobi County,1263111,28.316,24.928,24.776,25.342,17.459,16.974,24.957
BACHELOR OF SCIENCE (BIOLOGY),PWANI UNIVERSITY,Unknown,1117111,,,27.347,,,,
BACHELOR OF SCIENCE IN BIOLOGY,"UNIVERSITY OF EASTERN AFRICA, BARATON",Unknown,1181111,,25.744,25.679,16.791,17.459,16.974,15.683
BACHELOR OF SCIENCE IN BIOLOGY,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,Kiambu County,1249111,,,,,,,
BACHELOR OF SCIENCE IN BIOLOGY,CATHOLIC UNIVERSITY OF EASTERN  AFRICA,Nairobi County,1480111,,26.633,24.803,16.791,17.459,16.974,15.683
BACHELOR OF SCIENCE IN BIOLOGY,CHUKA UNIVERSITY,Tharaka-Nithi County,1105111,,24.668,24.763,16.791,17.459,16.974,15.683
BACHELOR OF SCIENCE (BIOLOGY),KAIMOSI FRIENDS UNIVERSITY,Unknown,1470111,,,,,17.459,16.974,15.683
BACHELOR OF EDUCATION(ARTS) WITH IT,JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,Siaya County,1053135,,26.534,29.417,29.555,28.703,29.225,29.533
BACHELOR OF EDUCATION (ARTS),EGERTON UNIVERSITY,Nakuru County,1057135,29.213,30.772,32.843,33.037,29.484,32.486,32.306
BACHELOR OF EDUCATION (ARTS),RONGO UNIVERSITY,Unknown,1073135,,23.933,27.932,28.652,23.905,27.67,28.096
BACHELOR OF EDUCATION ARTS,MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY,Unknown,1082135,24.722,27.885,30.378,30.284,28.416,30.315,30.054
BACHELOR OF EDUCATION (ARTS),KISII UNIVERSITY,Kisii County,1087135,24.349,26.847,29.26,29.649,29.349,30.144,29.991
BACHELOR OF EDUCATION (ARTS),UNIVERSITY OF EMBU,Unknown,1093135,,23.558,28.318,28.778,27.236,28.791,28.208
BACHELOR OF EDUCATION (ARTS),GARISSA UNIVERSITY,Garissa County,1096135,,24.556,24.871,23.411,22.636,22.358,23.967
BACHELOR OF EDUCATION (ARTS),CHUKA UNIVERSITY,Tharaka-Nithi County,1105135,27.868,30.08,32.204,32.427,31.082,32.845,31.468
BACHELOR OF EDUCATION (ARTS),KIBABII UNIVERSITY,Unknown,1108135,24.693,27.239,29.429,29.459,26.892,28.733,28.747
BACHELOR OF EDUCATION (ARTS),KENYATTA UNIVERSITY,Nairobi County,1111135,30.251,31.348,33.48,33.428,33.45,34.725,33.556
BACHELOR OF EDUCATION (ARTS),UNIVERSITY OF ELDORET,Uasin Gishu County,1114135,24.113,28.062,30.394,30.422,30.549,31.187,29.002
BACHELOR OF EDUCATION (ARTS),PWANI UNIVERSITY,Unknown,1117135,24.739,27.06,29.374,29.372,28.37,29.554,29.26
BACHELOR OF EDUCATION (ARTS),UNIVERSITY OF KABIANGA,Kericho County,1118135,26.552,26.918,29.329,29.374,27.168,28.659,29.077
BACHELOR OF EDUCATION (ARTS),MAASAI MARA UNIVERSITY,Unknown,1165135,24.348,27.279,29.389,29.701,26.242,29.033,29.507
BACHELOR OF EDUCATION (ARTS),SOUTH EASTERN KENYA UNIVERSITY,Kitui County,1166135,,23.613,26.531,27.814,24.04,24.904,27.258
BACHELOR OF EDUCATION (ARTS),MACHAKOS UNIVERSITY,Machakos County,1170135,,25.256,28.815,29.075,27.404,28.949,29.206
BACHELOR OF EDUCATION (ARTS),LAIKIPIA UNIVERSITY,Unknown,1176135,,25.119,28.908,28.732,26.02,26.869,27.574
"BACHELOR OF EDUCATION (ARTS, WITH IT)",MASENO UNIVERSITY,Kisumu County,1229135,27.055,28.521,31.016,31.178,30.514,32.556,31.535
BACHELOR OF EDUCATION (ARTS),KARATINA UNIVERSITY,Nyeri County,1244135,25.073,27.867,30.098,28.812,28.259,28.78,29.47
BACHELOR OF EDUCATION (ARTS),MOI UNIVERSITY,Uasin Gishu County,1253135,27.178,29.084,31.117,30.672,27.755,30.707,30.04
BACHELOR OF EDUCATION (ARTS),UNIVERSITY OF NAIROBI,Nairobi County,1263135,28.731,30.537,32.924,32.981,32.813,33.663,32.421
BACHELOR OF EDUCATION (ARTS),RIARA UNIVERSITY,Unknown,1060135,,,,,,,
BACHELOR OF EDUCATION (ARTS),KABARAK UNIVERSITY,Nakuru County,1061135,26.419,27.727,30.075,30.251,29.225,22.358,26.546
BACHELOR OF EDUCATION (ARTS),GRETSA UNIVERSITY,Unknown,1088135,,23.842,25.248,26.953,22.636,22.358,23.657
BACHELOR OF EDUCATION (ARTS),SCOTT CHRISTIAN UNIVERSITY,Unknown,1090135,,23.767,24.06,24.683,22.636,22.358,21.858
BACHELOR OF EDUCATION ARTS,ST PAULS UNIVERSITY,Unknown,1107135,,23.637,25.609,27.151,24.332,22.358,23.857
BACHELOR OF EDUCATION (ARTS),KENYA HIGHLANDS EVANGELICAL UNIVERSITY,Unknown,1169135,,24.364,24.116,23.835,22.636,22.358,21.858
BACHELOR OF EDUCATION (ARTS),"UNIVERSITY OF EASTERN AFRICA, BARATON",Unknown,1181135,,23.999,27.787,28.906,24.79,22.358,23.471
